Date,secCode,secName,Title,URL
2020-03-28 00:00:00,600259,广晟有色,广晟有色：广东君信律师事务所关于《广晟有色金属股份有限公司收购报告书》的法律意见书,http://static.cninfo.com.cn/finalpage/2020-03-28/1207418068.PDF
2020-03-28 00:00:00,000829,天音控股,天音控股：拟收购深圳市易天移动数码连锁有限公司45%股权项目资产评估报告,http://static.cninfo.com.cn/finalpage/2020-03-28/1207416264.PDF
2020-03-28 00:00:00,600729,重庆百货,重庆百货：要约收购报告书摘要（修订稿）,http://static.cninfo.com.cn/finalpage/2020-03-28/1207418601.PDF
2020-03-28 00:00:00,600729,重庆百货,重庆百货：关于重庆商社（集团）有限公司要约收购公司股份的申报公告,http://static.cninfo.com.cn/finalpage/2020-03-28/1207418600.PDF
2020-03-28 00:00:00,002925,盈趣科技,盈趣科技：关于收购子公司股权事项2019年度业绩承诺实现情况的专项说明,http://static.cninfo.com.cn/finalpage/2020-03-28/1207419229.PDF
2020-03-28 00:00:00,000837,秦川机床,秦川机床：收购报告书,http://static.cninfo.com.cn/finalpage/2020-03-28/1207418675.PDF
2020-03-27 23:59:59,01560,星星地产,星星地产：有关收购METROPOLITAN GROUP (BVI) LIMITED之全部已发行股本及结欠之股东贷款之主要及关连交易及股东特别大会通告,http://static.cninfo.com.cn/finalpage/2020-03-27/1207424544.PDF
2020-03-27 23:59:59,01171,兖州煤业股份,兖州煤业股份：有关建议收购莫拉本煤炭合营企业10%权益的关连交易,http://static.cninfo.com.cn/finalpage/2020-03-27/1207423992.PDF
2020-03-27 23:59:59,01560,星星地产,星星地产：有关收购METROPOLITAN GROUP (BVI) LIMITED之全部已发行股本及结欠之股东贷款之主要及关连交易及股东特别大会通告,http://static.cninfo.com.cn/finalpage/2020-03-27/1207424544.PDF
2020-03-27 23:59:59,00689,长盈集团(控股),长盈集团(控股)：有关非常重大收购事项之进一步公布及建议股东特别大会延期,http://static.cninfo.com.cn/finalpage/2020-03-27/1207424470.PDF
2020-03-27 23:59:59,00185,正商实业,正商实业：自愿公告 - 收购位於中国河南省之土地使用权,http://static.cninfo.com.cn/finalpage/2020-03-27/1207424080.PDF
2020-03-27 23:59:59,00697,SHOUGANG INT'L,SHOUGANG INT'L：关连交易 - 首中停车股权收购,http://static.cninfo.com.cn/finalpage/2020-03-27/1207423993.PDF
2020-03-27 23:16:59,01902,银城国际控股,银城国际控股：主要交易收购财困公司及股东特别大会通告,http://static.cninfo.com.cn/finalpage/2020-03-27/1207422397.PDF
2020-03-27 23:16:52,01169,海尔电器,海尔电器：根据收购守则规则3.8作出的公告,http://static.cninfo.com.cn/finalpage/2020-03-27/1207422355.PDF
2020-03-27 22:49:23,02393,巨星医疗控股,巨星医疗控股：有关收购广州弘恩医疗诊断技术有限公司20%股本权益的关连及持续关连交易,http://static.cninfo.com.cn/finalpage/2020-03-27/1207420488.PDF
